,color,review,review_of_text,review_title,style_name,verified_purchase
185,(PRODUCT)RED,"Experience is worth every rupee spent on iPhone 12. Moving from android to IPhone was easy. I had booked this phone on other online portal however they committed and not delivered even 4 days past committed date. Then I saw it available on Amazon so booked here and got delivered within 24 hours. Kudos to Amazon !!
If you like clicking photos “iPhone is great deal”
If you like listening music iPhone is the best choice
If you want to use it for multimedia it’s an awesome experience.
Good battery life , super fast face unlock and loads of other features..
Over all 10/10 rating !! Go for it !",Reviewed in India on 27 September 2021,Excellent Product !!,128GB,Verified Purchase
186,(PRODUCT)RED,"Being a chronic (!) iPhone user, no need to review the product, though need to appreciate the 4K video in IPhone 12. But about Amazon - have been buying from them for many years now, all and sundry products to many models of iPhones. Never had a problem on the genuineness or the packing! Kudos to the team!",Reviewed in India on 12 August 2021,Why need a review for IPhone!,64GB,Verified Purchase
187,Black,"Screen size bit small.....otherwise fantastic display, fantastic sound and masterpiece 👌👌👌.....but tim cook could have given charger and earphone",Reviewed in India on 7 December 2020,"Screen size bit small.....otherwise fantastic display, fantastic sound and masterpieces 👌👌👌",256GB,Verified Purchase
188,Blue,Today I got the Apple iPhone and found a curve line in the corner. It's manufacturer defect. So it may be exchange.,Reviewed in India on 19 May 2021,At the corner in front side glass defect.,128GB,Verified Purchase
189,White,"So till now what concerns me is only the battery and everything by far is top notch and I was a little hesitating before purchasing it since this was my first interaction with the iOS environment but now I am used to it and works fine. Since I am not a fan of too much customization so for me this UI is totally fine. Plus gaming experience was also good till now I played nfs no limit and it works like a champ. I also really like it's ram working since my app in background keeps running without always reloading it when again opened.
One last since I haven't used 120 Hz refresh rate so I can’t tell about it but since my old phone was also no having it so for me it's awesome👌.
Camera is also awesome till now I haven't used it much due to covid but in low light it worked too good no doubt about it:).

Hope this will help someone😁",Reviewed in India on 5 March 2021,Due to low battery always be in mind but if you leave that top notch smartphone A14 bionic chip🙌,128GB,Verified Purchase
190,Green,"Best night mode camera so far,
Screen 5 star
Battery 5 star
Security love 3000 😅
If you are an android user you might fave some dat transfer issue, but its ok 👍
If you highly z+ security for your transaction, & data and many more you are on right track
Give it a try you will never regret it
My best suggestion if you are planning to buy an iPhone just wait for amazon prime day deal or any deal you will definitely get a profitable deal !!
Thank you
Stay safe
Stay Healthy",Reviewed in India on 27 July 2021,Overall it is a best ever deal,128GB,Verified Purchase
191,Black,"Just 5 min old and see the small bubble inside the screen . Hoping to be get resolved by amazon.

Edit - second time got ok phone . Thanks Amazon",Reviewed in India on 25 May 2021,5min old iPhone 12 has screen issues,64GB,Verified Purchase
192,White,"Phone functioning is fantastic.Earlier charging is taking time after 80%lets say around 3 hours but one update was done now after 80%it is taking 1 hour.upto 80%is fast charging just in 20 to 30 minutes.
Camera is awesome as it is apple.",Reviewed in India on 19 July 2021,It's a monster from 🍎,64GB,Verified Purchase
193,Green,I moved from Android and trust me I am loving it from day 1. Extremely fast and smooth. Face ID is very accurate and fast. Battery backup is good but not the best. Haven’t tried any games on it yet but will try them too soon.,Reviewed in India on 20 January 2022,Awesome piece of technology,128GB,Verified Purchase
194,Blue,"I can’t find a flaw in this phone till now, after using this for 3 days. Upgraded from iPhone 7 Plus - and this one is way beyond what I expected. Super performance, battery life, camera, display, refresh rate, interface — and I can go on and on. Timely delivery by amazon, with no complaints on packaging. A genuine product verified on apple website as well.",Reviewed in India on 25 June 2021,Worth spending on this beast,128GB,Verified Purchase
195,Black,"Overall experience: As we spend huge amounts of Money on this mobile, we expect a lot from Apple.

Requesting apple to come up with more handy inbuilt apps to facilitate daily activities which will also give us more satisfaction for the money we spent",Reviewed in India on 31 May 2021,Expensive but loads of technology,128GB,Verified Purchase
196,Purple,"Voice not coming, incoming calls not coming properly even when network is full.
Pls change phone",Reviewed in India on 18 October 2021,Change phone,128GB,Verified Purchase
197,Blue,"Writing the rewiew after some days of usage And I would like to mention the following things -
Battery - As per my usage the battery lasts full day and my screen time goes to 6-7 hours .
Display- Best in class , You will love to enjoy watching videos in this .
Build quality- Feels very premium in hand and also is durable , like I have been using it without any screen guard and cover and there is not even a single scratch .
Camera - As we all know that iPhones cameras are the best . It’s shots are very clear",Reviewed in India on 2 June 2021,"Best Phone , Just go for it",128GB,Verified Purchase
198,Black,"This is the worst apple product I bought so far. After one week of my purchase, I felt the battery is draining fast without any usage. I occasionally use my phones for browsing purposes. Charged to 100% on one evening and switched off for 25 hrs due to fever. After 25 hrs, when I switched on my mobile, the battery is 56%. I am wondering how can I fix it. Disabled all background refresh for apps and did as much as possible to improve the battery life. But no use. I regret to buy this defective product from Apple/amazon",Reviewed in India on 30 January 2022,Worst battery life,64GB,Verified Purchase
199,Green,"Loving it !! Bought this iPhone after using iPhone 6s for almost 5 year!! Colour is ultimate, speed is superb , touch is perfect , battery life is so far good… Everything is perfect just one drawback, company is saving hell lot of money by not providing charger with it!!",Reviewed in India on 22 January 2022,Loving it !!,128GB,Verified Purchase
